ticker,settore,industria,capitalizzazione,azioni_in_circolazione,flottante,valuta,tipo,denominazione,denaro,lettera,spread_pct
FDA.MI,Industrials,Specialty Industrial Machinery,9995295.0,1249411870.0,228482070.0,EUR,EQUITY,Fidia S.p.A.,0.008,0.0082,2.4691358024691423
FF.MI,Consumer Defensive,Packaged Foods,193188576.0,19068758.0,8303738.0,EUR,EQUITY,Fine Foods & Pharmaceuticals N.T.M. S.p.A.,8.56,8.6,0.46620046620045624
FIC.MI,Financial Services,Capital Markets,61283740.0,3462358.0,2145969.0,EUR,EQUITY,First Capital S.p.A.,17.35,17.6,1.4306151645207439
FILA.MI,Industrials,Business Equipment & Supplies,520152704.0,42516655.0,30742380.0,EUR,EQUITY,F.I.L.A. - Fabbrica Italiana Lapis ed Affini S.p.A.,10.28,10.3,0.19436345966959526
FM.MI,Industrials,Specialty Business Services,575517184.0,71404114.0,12927001.0,EUR,EQUITY,Fiera Milano S.p.A.,8.06,8.07,0.12399256044637055
FNM.MI,Industrials,Railroads,199185376.0,434902568.0,128010870.0,EUR,EQUITY,FNM S.p.A.,0.458,0.462,0.8695652173913051
FPE.MI,Consumer Cyclical,Luxury Goods,288739136.0,5447908.0,530907.0,EUR,EQUITY,Fope S.p.A.,52.0,53.5,2.843601895734597
FPT.MI,Communication Services,Telecom Services,,,,EUR,EQUITY,,1.1038,1.1544,4.481445398990364
FRE.MI,Utilities,Utilities - Renewable,10855056.0,59317247.0,45275668.0,EUR,EQUITY,Frendy Energy S.p.A.,0.179,0.185,3.2967032967032996
FTC.MI,Industrials,Consulting Services,3688300.0,13172500.0,,EUR,EQUITY,Finanza.tech S.p.A.,0.276,0.284,2.8571428571428394
FUM.MI,Industrials,Building Products & Equipment,102606032.0,32677079.0,4496168.0,EUR,EQUITY,Franchi Umberto Marmi S.p.A.,3.12,3.15,0.956937799043056
G.MI,Financial Services,Insurance - Diversified,65010343936.0,1511868413.0,875265111.0,EUR,EQUITY,Assicurazioni Generali S.p.A.,42.99,43.0,0.023258518432371228
GAB.MI,Real Estate,Real Estate Services,23892884.0,60335566.0,25087528.0,EUR,EQUITY,Gabetti Property Solutions S.p.A.,0.395,0.403,2.0050125313283225
GAIN.MI,Technology,Software - Application,9564247.0,6127000.0,,EUR,EQUITY,,,,
GAMB.MI,Communication Services,Publishing,3612250.0,14449000.0,,EUR,EQUITY,Gambero Rosso S.p.A.,0.244,0.254,4.016064257028116
GCOM.MI,Consumer Cyclical,Internet Retail,7304104.0,12072900.0,,EUR,EQUITY,Giglio.com S.p.A.,0.58,0.615,5.8577405857740645
GDT.MI,Industrials,Marine Shipping,,,,EUR,EQUITY,,2.5805,2.69,4.155203491129879
GE.MI,Technology,Electronic Components,156927632.0,14201595.0,6271566.0,EUR,EQUITY,Gefran S.p.A.,11.05,11.1,0.4514672686230152
GEL.MI,Industrials,Pollution & Treatment Controls,15428874.0,6271900.0,922534.0,EUR,EQUITY,Gel S.p.A.,2.0,2.46,20.62780269058296
GEO.MI,Consumer Cyclical,Footwear & Accessories,103443168.0,366170490.0,104589277.0,EUR,EQUITY,Geox S.p.A.,0.28,0.2825,0.88888888888887
GF.MI,Financial Services,Credit Services,267863408.0,12635066.0,6270025.0,EUR,EQUITY,Generalfinance S.p.A.,21.1,21.2,0.47281323877067555
GHC.MI,Healthcare,Medical Care Facilities,497968192.0,88292234.0,24884957.0,EUR,EQUITY,Garofalo Health Care S.p.A.,5.64,5.66,0.3539823008849639
GIS.MI,Consumer Cyclical,Luxury Goods,6669308.0,4091600.0,1591591.0,EUR,EQUITY,Gismondi 1754 S.p.A.,1.57,1.63,3.7499999999999893
GM.MI,Consumer Cyclical,Textile Manufacturing,60000000.0,20000000.0,12110400.0,EUR,EQUITY,Gentili Mosconi S.p.A.,2.98,3.2,7.1197411003236315
GML.MI,Consumer Cyclical,Textile Manufacturing,12004510.0,17149300.0,,EUR,EQUITY,G.M. Leather S.p.A.,0.67,0.7,4.379562043795608
GMS.MI,Consumer Defensive,Education & Training Services,16750000.0,12500000.0,9236000.0,EUR,EQUITY,Giocamondo Study S.p.A.,1.34,1.39,3.66300366300365
